state,district,month,age_0_5,age_5_17,age_18_plus,total
Maharashtra,Dharashiv,2025-10,0,37,440,477
Maharashtra,Dharashiv,2025-11,0,50,621,671
Maharashtra,Dharashiv,2025-12,0,49,460,509
Maharashtra,Dharashiv,2026-01,0,4,8,12
Maharashtra,Dhule,2025-03,0,3653,10351,14004
Maharashtra,Dhule,2025-04,0,4482,11578,16060
Maharashtra,Dhule,2025-05,0,7195,16226,23421
Maharashtra,Dhule,2025-06,0,6314,11927,18241
Maharashtra,Dhule,2025-07,0,11549,16762,28311
Maharashtra,Dhule,2025-08,0,4520,9914,14434
Maharashtra,Dhule,2025-09,0,15715,14505,30220
Maharashtra,Dhule,2025-10,0,6744,21879,28623
Maharashtra,Dhule,2025-11,0,9587,18627,28214
Maharashtra,Dhule,2025-12,0,5300,8272,13572
Maharashtra,Dhule,2026-01,0,673,1119,1792
Maharashtra,Gadchiroli,2025-03,0,2343,9262,11605
Maharashtra,Gadchiroli,2025-04,0,1592,4223,5815
Maharashtra,Gadchiroli,2025-05,0,3576,9302,12878
Maharashtra,Gadchiroli,2025-06,0,5965,12870,18835
Maharashtra,Gadchiroli,2025-07,0,3715,8863,12578
Maharashtra,Gadchiroli,2025-08,0,2491,7156,9647
Maharashtra,Gadchiroli,2025-09,0,6253,9541,15794
Maharashtra,Gadchiroli,2025-10,0,4958,27554,32512
Maharashtra,Gadchiroli,2025-11,0,6643,20833,27476
Maharashtra,Gadchiroli,2025-12,0,4428,9333,13761
Maharashtra,Gadchiroli,2026-01,0,463,1035,1498
Maharashtra,Gondia,2025-05,0,3,65,68
Maharashtra,Gondia,2025-06,0,4,119,123
Maharashtra,Gondia,2025-07,0,2,148,150
Maharashtra,Gondia,2025-08,0,6,152,158
Maharashtra,Gondia,2025-09,0,21,150,171
Maharashtra,Gondia,2025-10,0,10,536,546
Maharashtra,Gondia,2025-11,0,2,466,468
Maharashtra,Gondia,2025-12,0,5,154,159
Maharashtra,Gondia,2026-01,0,0,14,14
Maharashtra,Gondiya,2025-03,0,5518,8792,14310
Maharashtra,Gondiya,2025-04,0,1896,3302,5198
Maharashtra,Gondiya,2025-05,0,3264,8693,11957
Maharashtra,Gondiya,2025-06,0,3045,6191,9236
Maharashtra,Gondiya,2025-07,0,3740,6017,9757
Maharashtra,Gondiya,2025-08,0,2419,4733,7152
Maharashtra,Gondiya,2025-09,0,8776,7821,16597
Maharashtra,Gondiya,2025-10,0,3159,13833,16992
Maharashtra,Gondiya,2025-11,0,4489,10599,15088
Maharashtra,Gondiya,2025-12,0,3369,5451,8820
Maharashtra,Gondiya,2026-01,0,394,598,992
Maharashtra,Gondiya *,2025-05,0,9,228,237
Maharashtra,Gondiya *,2025-06,0,5,293,298
Maharashtra,Gondiya *,2025-07,0,7,274,281
Maharashtra,Gondiya *,2025-08,0,6,244,250
Maharashtra,Gondiya *,2025-09,0,32,330,362
Maharashtra,Gondiya *,2025-10,0,11,641,652
Maharashtra,Gondiya *,2025-11,0,13,640,653
Maharashtra,Gondiya *,2025-12,0,5,304,309
Maharashtra,Gondiya *,2026-01,0,1,22,23
Maharashtra,Hingoli,2025-03,0,2459,6470,8929
Maharashtra,Hingoli,2025-04,0,2698,5283,7981
Maharashtra,Hingoli,2025-05,0,5007,11270,16277
Maharashtra,Hingoli,2025-06,0,3974,7509,11483
Maharashtra,Hingoli,2025-07,0,5253,9964,15217
Maharashtra,Hingoli,2025-08,0,3112,6500,9612
Maharashtra,Hingoli,2025-09,0,12150,9777,21927
Maharashtra,Hingoli,2025-10,0,3690,10949,14639
Maharashtra,Hingoli,2025-11,0,4972,12377,17349
Maharashtra,Hingoli,2025-12,0,6598,6510,13108
Maharashtra,Hingoli,2026-01,0,640,863,1503
Maharashtra,Hingoli *,2025-06,0,0,5,5
Maharashtra,Hingoli *,2025-07,0,0,3,3
Maharashtra,Hingoli *,2025-09,0,0,1,1
Maharashtra,Hingoli *,2025-10,0,1,7,8
Maharashtra,Hingoli *,2025-11,0,1,4,5
Maharashtra,Hingoli *,2025-12,0,0,3,3
Maharashtra,Hingoli *,2026-01,0,0,1,1
Maharashtra,Jalgaon,2025-03,0,11837,32014,43851
Maharashtra,Jalgaon,2025-04,0,9287,19513,28800
Maharashtra,Jalgaon,2025-05,0,17581,46035,63616
Maharashtra,Jalgaon,2025-06,0,12843,31567,44410
Maharashtra,Jalgaon,2025-07,0,19928,34154,54082
Maharashtra,Jalgaon,2025-08,0,9635,21726,31361
Maharashtra,Jalgaon,2025-09,0,29794,28094,57888
Maharashtra,Jalgaon,2025-10,0,11745,43152,54897
Maharashtra,Jalgaon,2025-11,0,24265,41723,65988
Maharashtra,Jalgaon,2025-12,0,16915,19223,36138
Maharashtra,Jalgaon,2026-01,0,1916,2695,4611
Maharashtra,Jalna,2025-03,0,4436,9648,14084
Maharashtra,Jalna,2025-04,0,1454,3882,5336
Maharashtra,Jalna,2025-05,0,6790,17632,24422
Maharashtra,Jalna,2025-06,0,5373,11848,17221
Maharashtra,Jalna,2025-07,0,11592,18963,30555
Maharashtra,Jalna,2025-08,0,7222,11702,18924
Maharashtra,Jalna,2025-09,0,17691,13400,31091
Maharashtra,Jalna,2025-10,0,5775,19614,25389
Maharashtra,Jalna,2025-11,0,11033,21027,32060
Maharashtra,Jalna,2025-12,0,6202,9192,15394
Maharashtra,Jalna,2026-01,0,1031,1545,2576
Maharashtra,Kolhapur,2025-03,0,7191,13857,21048
Maharashtra,Kolhapur,2025-04,0,11276,12250,23526
Maharashtra,Kolhapur,2025-05,0,11366,20706,32072
Maharashtra,Kolhapur,2025-06,0,8940,18588,27528
Maharashtra,Kolhapur,2025-07,0,11579,19408,30987
Maharashtra,Kolhapur,2025-08,0,7039,13980,21019
Maharashtra,Kolhapur,2025-09,0,30721,15509,46230
Maharashtra,Kolhapur,2025-10,0,9930,20550,30480
Maharashtra,Kolhapur,2025-11,0,13849,24315,38164
Maharashtra,Kolhapur,2025-12,0,9269,12574,21843
Maharashtra,Kolhapur,2026-01,0,1294,1697,2991
Maharashtra,Latur,2025-03,0,10715,23180,33895
Maharashtra,Latur,2025-04,0,4415,11790,16205
Maharashtra,Latur,2025-05,0,9706,38609,48315
Maharashtra,Latur,2025-06,0,6375,20777,27152
Maharashtra,Latur,2025-07,0,7173,17383,24556
Maharashtra,Latur,2025-08,0,5462,11520,16982
Maharashtra,Latur,2025-09,0,13532,14929,28461
Maharashtra,Latur,2025-10,0,6231,21257,27488
Maharashtra,Latur,2025-11,0,8343,23221,31564
Maharashtra,Latur,2025-12,0,5023,9131,14154
Maharashtra,Latur,2026-01,0,696,1333,2029
Maharashtra,Mumbai,2025-03,0,5936,25468,31404
Maharashtra,Mumbai,2025-04,0,8271,22110,30381
Maharashtra,Mumbai,2025-05,0,14917,36833,51750
Maharashtra,Mumbai,2025-06,0,8626,28276,36902
Maharashtra,Mumbai,2025-07,0,11190,33774,44964
Maharashtra,Mumbai,2025-08,0,5931,21000,26931
Maharashtra,Mumbai,2025-09,0,15515,28667,44182
Maharashtra,Mumbai,2025-10,0,13992,34534,48526
Maharashtra,Mumbai,2025-11,0,16687,48255,64942
Maharashtra,Mumbai,2025-12,0,13764,36181,49945
Maharashtra,Mumbai,2026-01,0,1617,4935,6552
Maharashtra,Mumbai City,2025-03,0,1700,2194,3894
Maharashtra,Mumbai City,2025-04,0,1527,1336,2863
Maharashtra,Mumbai City,2025-05,0,2796,3126,5922
Maharashtra,Mumbai City,2025-06,0,2095,2923,5018
Maharashtra,Mumbai City,2025-07,0,2596,3248,5844
Maharashtra,Mumbai City,2025-08,0,1486,1653,3139
Maharashtra,Mumbai City,2025-09,0,4040,2049,6089
Maharashtra,Mumbai City,2025-10,0,3989,2202,6191
Maharashtra,Mumbai City,2025-11,0,5868,3115,8983
Maharashtra,Mumbai City,2025-12,0,4259,2245,6504
Maharashtra,Mumbai City,2026-01,0,542,281,823
Maharashtra,Mumbai Suburban,2025-03,0,5683,8028,13711
Maharashtra,Mumbai Suburban,2025-04,0,5399,5618,11017
Maharashtra,Mumbai Suburban,2025-05,0,10682,11725,22407
Maharashtra,Mumbai Suburban,2025-06,0,6685,9200,15885
Maharashtra,Mumbai Suburban,2025-07,0,10087,11601,21688
Maharashtra,Mumbai Suburban,2025-08,0,6831,7007,13838
Maharashtra,Mumbai Suburban,2025-09,0,15305,9101,24406
Maharashtra,Mumbai Suburban,2025-10,0,13692,9996,23688
Maharashtra,Mumbai Suburban,2025-11,0,19512,11352,30864
Maharashtra,Mumbai Suburban,2025-12,0,12622,8370,20992
Maharashtra,Mumbai Suburban,2026-01,0,2023,1039,3062
Maharashtra,Mumbai( Sub Urban ),2025-05,0,57,720,777
Maharashtra,Mumbai( Sub Urban ),2025-06,0,45,1064,1109
Maharashtra,Mumbai( Sub Urban ),2025-07,0,36,1190,1226
Maharashtra,Mumbai( Sub Urban ),2025-08,0,24,788,812
Maharashtra,Mumbai( Sub Urban ),2025-09,0,75,970,1045
Maharashtra,Mumbai( Sub Urban ),2025-10,0,60,1265,1325
